,,,,taccuracy,,,,tloss
,,,,,,,,
CIFAR-100, num-labeled=2500, Epochs=50, learning rate=0.1 with plateauLR scheduler of 0.2 with patience=7 wd=0.0005 SGD with momentum=0.9 and dropout=0.5,,,,,
,,,,,,,,
Epoch 1/100, Train Accuracy,50.721, Test Accuracy,3.65, Training Loss,2.631, Test Loss,4.565
Epoch 2/100, Train Accuracy,51.376, Test Accuracy,12.56, Training Loss,2.205, Test Loss,4.212
Epoch 3/100, Train Accuracy,54.271, Test Accuracy,22.26, Training Loss,1.794, Test Loss,4.099
Epoch 4/100, Train Accuracy,60.999, Test Accuracy,24.49, Training Loss,1.362, Test Loss,4.519
Epoch 5/100, Train Accuracy,66.746, Test Accuracy,24.8, Training Loss,1.083, Test Loss,4.689
Epoch 6/100, Train Accuracy,70.239, Test Accuracy,27.63, Training Loss,0.947, Test Loss,4.44
Epoch 7/100, Train Accuracy,72.531, Test Accuracy,27.88, Training Loss,0.859, Test Loss,4.596
Epoch 8/100, Train Accuracy,73.683, Test Accuracy,27.87, Training Loss,0.819, Test Loss,4.513
Epoch 9/100, Train Accuracy,74.456, Test Accuracy,27.37, Training Loss,0.798, Test Loss,4.668
Epoch 10/100, Train Accuracy,74.978, Test Accuracy,28.54, Training Loss,0.782, Test Loss,4.439
Epoch 11/100, Train Accuracy,75.165, Test Accuracy,27.94, Training Loss,0.771, Test Loss,4.547
Epoch 12/100, Train Accuracy,86.065, Test Accuracy,35.44, Training Loss,0.433, Test Loss,4.213
Epoch 13/100, Train Accuracy,86.861, Test Accuracy,34.4, Training Loss,0.401, Test Loss,4.246
Epoch 14/100, Train Accuracy,86.93, Test Accuracy,33.65, Training Loss,0.402, Test Loss,4.37
Epoch 15/100, Train Accuracy,86.879, Test Accuracy,34.79, Training Loss,0.401, Test Loss,4.321
Epoch 16/100, Train Accuracy,86.515, Test Accuracy,33.46, Training Loss,0.413, Test Loss,4.452
Epoch 17/100, Train Accuracy,86.271, Test Accuracy,33.48, Training Loss,0.419, Test Loss,4.333
Epoch 18/100, Train Accuracy,86.009, Test Accuracy,33.83, Training Loss,0.426, Test Loss,4.234
Epoch 19/100, Train Accuracy,85.815, Test Accuracy,33.51, Training Loss,0.435, Test Loss,4.344
Epoch 20/100, Train Accuracy,88.935, Test Accuracy,36.07, Training Loss,0.339, Test Loss,4.376
Epoch 21/100, Train Accuracy,89.784, Test Accuracy,35.56, Training Loss,0.309, Test Loss,4.464
Epoch 22/100, Train Accuracy,89.866, Test Accuracy,35.92, Training Loss,0.304, Test Loss,4.498
Epoch 23/100, Train Accuracy,90.108, Test Accuracy,35.14, Training Loss,0.298, Test Loss,4.53
Epoch 24/100, Train Accuracy,90.137, Test Accuracy,34.64, Training Loss,0.294, Test Loss,4.664
Epoch 25/100, Train Accuracy,90.403, Test Accuracy,34.25, Training Loss,0.288, Test Loss,4.7
Epoch 26/100, Train Accuracy,90.484, Test Accuracy,35.68, Training Loss,0.287, Test Loss,4.514
Epoch 27/100, Train Accuracy,90.685, Test Accuracy,34.37, Training Loss,0.279, Test Loss,4.635
Epoch 28/100, Train Accuracy,90.971, Test Accuracy,35.54, Training Loss,0.268, Test Loss,4.623
Epoch 29/100, Train Accuracy,91.549, Test Accuracy,34.57, Training Loss,0.249, Test Loss,4.785
Epoch 30/100, Train Accuracy,91.754, Test Accuracy,34.11, Training Loss,0.245, Test Loss,4.815
Epoch 31/100, Train Accuracy,91.803, Test Accuracy,34.35, Training Loss,0.242, Test Loss,4.781
Epoch 32/100, Train Accuracy,91.992, Test Accuracy,33.35, Training Loss,0.238, Test Loss,4.908
Epoch 33/100, Train Accuracy,92.097, Test Accuracy,34.22, Training Loss,0.235, Test Loss,4.85
Epoch 34/100, Train Accuracy,92.039, Test Accuracy,33.94, Training Loss,0.235, Test Loss,4.869
Epoch 35/100, Train Accuracy,92.145, Test Accuracy,33.85, Training Loss,0.233, Test Loss,4.906
Epoch 36/100, Train Accuracy,92.299, Test Accuracy,33.83, Training Loss,0.228, Test Loss,4.928
Epoch 37/100, Train Accuracy,92.311, Test Accuracy,34.32, Training Loss,0.226, Test Loss,4.895
Epoch 38/100, Train Accuracy,92.368, Test Accuracy,33.87, Training Loss,0.225, Test Loss,4.987
Epoch 39/100, Train Accuracy,92.507, Test Accuracy,33.61, Training Loss,0.223, Test Loss,5.022
Epoch 40/100, Train Accuracy,92.49, Test Accuracy,33.92, Training Loss,0.222, Test Loss,4.927
Epoch 41/100, Train Accuracy,92.446, Test Accuracy,34.07, Training Loss,0.223, Test Loss,4.937
Epoch 42/100, Train Accuracy,92.365, Test Accuracy,33.58, Training Loss,0.225, Test Loss,4.969
Epoch 43/100, Train Accuracy,92.437, Test Accuracy,33.46, Training Loss,0.222, Test Loss,4.995
Epoch 44/100, Train Accuracy,92.517, Test Accuracy,33.72, Training Loss,0.22, Test Loss,4.962
Epoch 45/100, Train Accuracy,92.558, Test Accuracy,33.67, Training Loss,0.222, Test Loss,4.967
Epoch 46/100, Train Accuracy,92.492, Test Accuracy,33.63, Training Loss,0.221, Test Loss,4.986
Epoch 47/100, Train Accuracy,92.55, Test Accuracy,33.81, Training Loss,0.221, Test Loss,4.944
Epoch 48/100, Train Accuracy,92.597, Test Accuracy,33.65, Training Loss,0.22, Test Loss,4.953
Epoch 49/100, Train Accuracy,92.464, Test Accuracy,33.63, Training Loss,0.22, Test Loss,4.988
Epoch 50/100, Train Accuracy,92.549, Test Accuracy,33.78, Training Loss,0.22, Test Loss,4.962
